user_id,date,app_name,category,screen_time_min,launches,interactions,is_productive,youtube_views,youtube_likes,youtube_comments
1051,2024-01-01 00:00:00.000000000,Camera,utilities,24.53,2,7,False,,,
1088,2024-01-01 00:43:41.673891297,Chrome,utilities,19.78,3,2,False,,,
1052,2024-01-01 01:27:23.347782594,Spotify,entertainment,32.03,1,6,False,,,
1028,2024-01-01 02:11:05.021673891,Google Maps,utilities,19.1,2,5,False,,,
1034,2024-01-01 02:54:46.695565188,Instagram,social,25.19,1,5,False,,,
1064,2024-01-01 03:38:28.369456485,Chrome,utilities,85.15,2,5,False,,,
1063,2024-01-01 04:22:10.043347782,Instagram,social,4.37,0,5,False,,,
1095,2024-01-01 05:05:51.717239079,Camera,utilities,57.35,2,5,False,,,
1060,2024-01-01 05:49:33.391130376,Instagram,social,58.42,3,2,False,,,
1016,2024-01-01 06:33:15.065021673,Snapchat,social,5.08,0,7,False,,,
1060,2024-01-01 07:16:56.738912970,Instagram,social,36.16,5,4,False,,,
1044,2024-01-01 08:00:38.412804268,Twitch,entertainment,6.18,5,7,False,,,
1065,2024-01-01 08:44:20.086695565,Instagram,social,31.61,5,5,False,,,
1059,2024-01-01 09:28:01.760586862,Snapchat,social,110.47,5,1,False,,,
1041,2024-01-01 10:11:43.434478159,Netflix,entertainment,4.1,2,4,False,,,
1079,2024-01-01 10:55:25.108369456,Slack,productivity,5.97,5,4,True,,,
1087,2024-01-01 11:39:06.782260753,Gmail,utilities,19.5,4,3,False,,,
1003,2024-01-01 12:22:48.456152050,Google Docs,productivity,33.26,3,5,True,,,
1041,2024-01-01 13:06:30.130043347,Instagram,social,13.79,0,1,False,,,
1022,2024-01-01 13:50:11.803934644,Gmail,utilities,21.07,2,3,False,,,
1093,2024-01-01 14:33:53.477825941,Gmail,utilities,9.53,3,4,False,,,
1069,2024-01-01 15:17:35.151717239,Snapchat,social,21.09,2,3,False,,,
1056,2024-01-01 16:01:16.825608536,Slack,productivity,33.38,4,1,True,,,
1014,2024-01-01 16:44:58.499499833,Twitch,entertainment,9.63,1,6,False,,,
1019,2024-01-01 17:28:40.173391130,Snapchat,social,84.67,3,5,False,,,
1027,2024-01-01 18:12:21.847282427,Microsoft Teams,productivity,54.04,4,6,True,,,
1028,2024-01-01 18:56:03.521173724,Camera,utilities,12.75,3,4,False,,,
1048,2024-01-01 19:39:45.195065021,Slack,productivity,6.41,2,6,True,,,
1004,2024-01-01 20:23:26.868956318,YouTube,entertainment,5.96,3,4,False,141455.0,12489.0,386.0
1041,2024-01-01 21:07:08.542847615,WhatsApp,social,57.81,1,5,False,,,
1009,2024-01-01 21:50:50.216738912,Snapchat,social,8.23,0,10,False,,,
1093,2024-01-01 22:34:31.890630210,Weather,utilities,0.36,1,6,False,,,
1033,2024-01-01 23:18:13.564521507,Instagram,social,16.06,4,5,False,,,
1023,2024-01-02 00:01:55.238412804,Spotify,entertainment,17.65,4,4,False,,,
1061,2024-01-02 00:45:36.912304101,YouTube,entertainment,29.27,3,2,False,217120.0,13571.0,3245.0
1049,2024-01-02 01:29:18.586195398,Google Maps,utilities,49.52,2,2,False,,,
1083,2024-01-02 02:13:00.260086695,WhatsApp,social,20.94,3,6,False,,,
1055,2024-01-02 02:56:41.933977992,Slack,productivity,22.81,2,6,True,,,
1027,2024-01-02 03:40:23.607869289,YouTube,entertainment,3.36,2,5,False,455780.0,34012.0,5289.0
1012,2024-01-02 04:24:05.281760586,Camera,utilities,36.4,3,6,False,,,
1054,2024-01-02 05:07:46.955651883,TikTok,entertainment,2.11,2,2,False,,,
1021,2024-01-02 05:51:28.629543181,Google Maps,utilities,21.12,2,3,False,,,
1036,2024-01-02 06:35:10.303434478,Spotify,entertainment,11.53,2,10,False,,,
1085,2024-01-02 07:18:51.977325775,TikTok,entertainment,13.1,1,5,False,,,
1017,2024-01-02 08:02:33.651217072,Chrome,utilities,110.96,1,3,False,,,
1000,2024-01-02 08:46:15.325108369,WhatsApp,social,13.04,2,6,False,,,
1032,2024-01-02 09:29:56.998999666,WhatsApp,social,17.62,2,2,False,,,
1016,2024-01-02 10:13:38.672890963,YouTube,entertainment,22.13,1,9,False,327559.0,26298.0,2334.0
1035,2024-01-02 10:57:20.346782260,TikTok,entertainment,11.08,4,9,False,,,
1059,2024-01-02 11:41:02.020673557,Netflix,entertainment,7.0,5,10,False,,,
1031,2024-01-02 12:24:43.694564854,Chrome,utilities,12.12,5,5,False,,,
1076,2024-01-02 13:08:25.368456152,Gmail,utilities,3.34,2,3,False,,,
1069,2024-01-02 13:52:07.042347449,WhatsApp,social,30.81,1,9,False,,,
1013,2024-01-02 14:35:48.716238746,Snapchat,social,0.64,2,7,False,,,
1080,2024-01-02 15:19:30.390130043,Camera,utilities,3.68,2,5,False,,,
1054,2024-01-02 16:03:12.064021340,Microsoft Teams,productivity,38.0,2,5,True,,,
1088,2024-01-02 16:46:53.737912637,Evernote,productivity,0.98,1,3,True,,,
1035,2024-01-02 17:30:35.411803934,Snapchat,social,10.6,5,3,False,,,
1062,2024-01-02 18:14:17.085695231,Facebook,social,43.85,1,3,False,,,
1019,2024-01-02 18:57:58.759586528,Netflix,entertainment,32.99,2,4,False,,,
1099,2024-01-02 19:41:40.433477825,Netflix,entertainment,12.09,0,6,False,,,
1043,2024-01-02 20:25:22.107369123,Chrome,utilities,33.17,3,5,False,,,
1086,2024-01-02 21:09:03.781260420,Snapchat,social,21.21,2,6,False,,,
1058,2024-01-02 21:52:45.455151717,Twitter,social,8.03,1,5,False,,,
1090,2024-01-02 22:36:27.129043014,Chrome,utilities,27.75,1,4,False,,,
1030,2024-01-02 23:20:08.802934311,Snapchat,social,17.89,3,9,False,,,
1050,2024-01-03 00:03:50.476825608,Facebook,social,8.14,4,10,False,,,
1054,2024-01-03 00:47:32.150716905,Chrome,utilities,10.18,3,5,False,,,
1001,2024-01-03 01:31:13.824608202,WhatsApp,social,36.72,5,5,False,,,
1021,2024-01-03 02:14:55.498499499,Evernote,productivity,68.02,3,5,True,,,
1039,2024-01-03 02:58:37.172390796,WhatsApp,social,8.91,2,3,False,,,
